zip_code,state
38601,MS
38603,MS
38606,MS
38609,MS
38610,MS
38611,MS
38614,MS
38617,MS
38618,MS
38619,MS
38620,MS
38621,MS
38625,MS
38626,MS
38627,MS
38628,MS
38629,MS
38632,MS
38633,MS
38635,MS
38637,MS
38641,MS
38642,MS
38643,MS
38645,MS
38646,MS
38647,MS
38650,MS
38651,MS
38652,MS
38654,MS
38655,MS
38658,MS
38659,MS
38661,MS
38663,MS
38664,MS
38665,MS
38666,MS
38668,MS
38670,MS
38671,MS
38672,MS
38673,MS
38674,MS
38675,MS
38676,MS
38680,MS
38683,MS
38685,MS
38701,MS
38703,MS
38720,MS
38721,MS
38725,MS
38726,MS
38730,MS
38731,MS
38732,MS
38733,MS
38736,MS
38737,MS
38740,MS
38744,MS
38746,MS
38748,MS
38751,MS
38753,MS
38754,MS
38756,MS
38759,MS
38761,MS
38762,MS
38769,MS
38771,MS
38773,MS
38774,MS
38778,MS
38801,MS
38804,MS
38821,MS
38824,MS
38826,MS
38827,MS
38828,MS
38829,MS
38833,MS
38834,MS
38838,MS
38841,MS
38843,MS
38844,MS
38846,MS
38847,MS
38848,MS
38849,MS
38850,MS
38851,MS
38852,MS
38855,MS
38856,MS
38857,MS
38858,MS
38859,MS
38860,MS
38862,MS
38863,MS
38864,MS
38865,MS
38866,MS
38868,MS
38870,MS
38871,MS
38873,MS
38876,MS
38878,MS
38901,MS
38913,MS
38914,MS
38915,MS
38916,MS
38917,MS
38920,MS
38921,MS
38922,MS
38923,MS
38924,MS
38925,MS
38927,MS
38928,MS
38929,MS
38930,MS
38940,MS
38941,MS
38943,MS
38944,MS
38948,MS
38949,MS
38950,MS
38951,MS
38952,MS
38953,MS
38954,MS
38961,MS
38963,MS
38964,MS
38965,MS
38966,MS
38967,MS
39038,MS
39039,MS
39040,MS
39041,MS
39042,MS
39044,MS
39045,MS
39046,MS
39047,MS
39051,MS
39054,MS
39056,MS
39057,MS
39059,MS
39063,MS
39066,MS
39067,MS
39069,MS
39071,MS
39073,MS
39074,MS
39078,MS
39079,MS
39082,MS
39083,MS
39086,MS
39088,MS
39090,MS
39092,MS
39094,MS
39095,MS
39096,MS
39097,MS
39108,MS
39110,MS
39111,MS
39114,MS
39116,MS
39117,MS
39119,MS
39120,MS
39140,MS
39144,MS
39145,MS
39146,MS
39149,MS
39150,MS
39152,MS
39153,MS
39154,MS
39156,MS
39157,MS
39159,MS
39160,MS
39162,MS
39166,MS
39168,MS
39169,MS
39170,MS
39173,MS
39175,MS
39176,MS
39179,MS
39180,MS
39183,MS
39189,MS
39191,MS
39192,MS
39194,MS
39201,MS
39202,MS
39203,MS
39204,MS
39206,MS
39208,MS
39209,MS
39211,MS
39212,MS
39213,MS
39216,MS
39218,MS
39232,MS
39269,MS
39272,MS
39301,MS
39305,MS
39307,MS
39320,MS
39322,MS
39323,MS
39325,MS
39326,MS
39327,MS
39328,MS
39330,MS
39332,MS
39335,MS
39336,MS
39337,MS
39338,MS
39339,MS
39341,MS
39342,MS
39345,MS
39346,MS
39347,MS
39348,MS
39350,MS
39352,MS
39354,MS
39355,MS
39356,MS
39358,MS
39360,MS
39361,MS
39362,MS
39363,MS
39364,MS
39365,MS
39366,MS
39367,MS
39401,MS
39402,MS
39421,MS
39422,MS
39423,MS
39425,MS
39426,MS
39427,MS
39428,MS
39429,MS
39437,MS
39439,MS
39440,MS
39443,MS
39451,MS
39452,MS
39455,MS
39456,MS
39459,MS
39461,MS
39462,MS
39464,MS
39465,MS
39466,MS
39470,MS
39474,MS
39475,MS
39476,MS
39478,MS
39479,MS
39480,MS
39481,MS
39482,MS
39483,MS
39501,MS
39503,MS
39507,MS
39520,MS
39525,MS
39530,MS
39531,MS
39532,MS
39540,MS
39553,MS
39556,MS
39560,MS
39561,MS
39562,MS
39563,MS
39564,MS
39565,MS
39567,MS
39571,MS
39572,MS
39573,MS
39574,MS
39576,MS
39577,MS
39581,MS
39601,MS
39629,MS
39630,MS
39631,MS
39633,MS
39638,MS
39641,MS
39643,MS
39645,MS
39647,MS
39648,MS
39652,MS
39653,MS
39654,MS
39656,MS
39657,MS
39661,MS
39662,MS
39663,MS
39664,MS
39665,MS
39666,MS
39667,MS
39668,MS
39669,MS
39701,MS
39702,MS
39705,MS
39730,MS
39735,MS
39737,MS
39739,MS
39740,MS
39741,MS
39743,MS
39744,MS
39745,MS
39746,MS
39747,MS
39750,MS
39751,MS
39752,MS
39755,MS
39756,MS
39759,MS
39766,MS
39767,MS
39769,MS
39771,MS
39772,MS
39773,MS
39776,MS
35004,AL
35005,AL
35006,AL
35007,AL
35010,AL
35014,AL
35016,AL
35019,AL
35020,AL
35022,AL
35023,AL
35031,AL
35033,AL
35034,AL
35035,AL
35040,AL
35042,AL
35043,AL
35044,AL
35045,AL
35046,AL
35049,AL
35051,AL
35053,AL
35054,AL
35055,AL
35057,AL
35058,AL
35061,AL
35062,AL
35063,AL
35064,AL
35068,AL
35071,AL
35072,AL
